Continent;Country;PlotID;Plot Code;PlotViewID;Plot Name;Plot View Name;PI;TreeID;Tag No;Sub Plot T1;Sub Plot T2;Standardised SubPlot T1;X;Y;Standardised X;Standardised Y;AllometricRegionID;Family;Genus;Species;Sub Species;Variety;Original Identification;Recommended Family;Recommended Species;Recommended Subspecies;Recommended Variety;FamilyAPGID;GenusID;SpeciesID;SubSpeciesID;Census No;Census Date;Voucher Code;Stem Group ID;Main Stem Tag;D0;D1;DPOMtMinus1;D2;D3;D4;POM0;POM;F1;F2;F3;F4;Extra D0;Extra D;Extra DPOMtMinus1;Extra D2;Extra D3;Extra D4;Extra POM0;Extra POM;Extra F3;Extra F4;CI;LI;CF;CD1;CD2;Height;F5;Height Broken At;Comments
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050077;119;P1SW8;;;;;;;;Aquifoliaceae;Ilex;Ilex microdonta;;;Ilex microdonta;Aquifoliaceae;Ilex microdonta;;;12;2161;316313;;2;2019.2315;;;;108;108;;108;108;108;1300;1300;a;1;0;0;;;;;;;;;;;;;;2;3;11.5;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050117;340;P1SW9;;;;;;;;Lauraceae;Ocotea;Ocotea bicolor;;;Ocotea bicolor;Lauraceae;Ocotea bicolor;;;374;14636;434402;;2;2019.2315;;;;141;141;;141;141;141;1300;1300;a;1;0;0;;;;;;;;;;;;;;3;1;12;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050060;106;P1SW7;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;Daphnopsis fasciculata;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;;;84;84;;84;84;84;1300;1300;a;1;0;0;;;;;;;;;;;;;;2;2;6;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050014;75;P1SE4;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;Daphnopsis fasciculata;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;;;89;89;;89;89;89;1300;1300;a;1;0;0;;;;;;;;;;;;;;3;3;9;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050163;563;P1NW11;;;;;;;;Myrtaceae;Myrcia;Myrcia retorta;;;Myrcia retorta;Myrtaceae;Myrcia retorta;;;408;16891;423779;;2;2019.2315;;;;60;60;;60;60;60;1300;1300;a;1;0;0;;;;;;;;;;;;;;1.5;1.5;6;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050017;77;P1SE4;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;Daphnopsis fasciculata;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;;;78;78;;78;78;78;1300;1300;a;1;0;0;;;;;;;;;;;;;;2;1.5;7;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2049994;60b;P1SE5;;;;;;;;Lauraceae;Ocotea;Ocotea porosa;;;Ocotea porosa;Lauraceae;Ocotea porosa;;;374;14636;434830;;2;2019.2315;;20881;60a;119;119;;119;119;119;1300;1300;ah;1;0;0;;;;;;;;;;;;;;4;3;11;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050206;1772;P1NE3;;;;;;;;Symplocaceae;Symplocos;Symplocos tetrandra;;;Symplocos tetrandra;Symplocaceae;Symplocos tetrandra;;;124;26001;580150;;2;2019.2315;;;;60;60;;60;60;60;1300;1300;a;1;0;0;;;;;;;;;;;;;;3;3;13;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2221309;1915;P1SW7;;;;;;;;Thymelaeaceae;Daphnopsis;Daphnopsis fasciculata;;;;Thymelaeaceae;Daphnopsis fasciculata;;;371;26132;157903;;2;2019.2315;;;;73;73;;73;73;73;1300;1300;an;1;0;0;;;;;;;;;;;;;;2;2;6;1;;era juvenil
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2221332;2707;P1NE2;;;;;;;;Salicaceae;Casearia;Casearia decandra;;;;Salicaceae;Casearia decandra;;;379;12958;99640;;2;2019.2315;;;;196;196;;196;196;196;1300;1300;an;1;0;0;;;;;;;;;;;;;;4;3;12;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2049951;22;P1NE3;;;;;;;;Lauraceae;Ocotea;Ocotea bicolor;;;Ocotea bicolor;Lauraceae;Ocotea bicolor;;;374;14636;434402;;2;2019.2315;;;;339;339;;339;339;339;1300;1300;a;1;0;0;;;;;;;;;;;;;;8;6;15;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050186;580a;P1NW11;;;;;;;;Myrtaceae;Myrcia;Myrcia retorta;;;Myrcia retorta;Myrtaceae;Myrcia retorta;;;408;16891;423779;;2;2019.2315;;20918;580a;135;135;;135;135;135;1300;1300;ah;1;0;0;;;;;;;;;;;;;;4;2;10;1;;
South America;BRAZIL;4481;PRM-01;4625;PELD Pró-mata área 01;Main Plot View;Sandra Cristina Müller;2050137;357;P1NW10;;;;;;;;Myrtaceae;Myrcia;Myrcia guianensis;;;Myrcia guianensis;Myrtaceae;Myrcia guianensis;;;408;16891;423535;;2;2019.2315;;;;99;99;;99;99;99;1300;1300;a;1;0;0;;;;;;;;;;;;;;3;2;9;1;;
